data,label
"[-0.04812844  0.14379126  0.00852065 -0.07108229 -0.05103818 -0.10427978
 -0.11164016 -0.10545424  0.10050894 -0.06594765  0.28764048 -0.04474492
 -0.2361178  -0.11386353 -0.05207987  0.13732563 -0.14351831 -0.09197181
 -0.06378402  0.06989856  0.17687003 -0.01979557  0.02726981  0.04621394
 -0.06542317 -0.35990286 -0.11633147 -0.04445528 -0.01895997 -0.10416456
 -0.06144612  0.01987816 -0.21652855 -0.10088534  0.02157196  0.06958746
 -0.03625626 -0.04550855  0.18334532  0.05008409 -0.22077975  0.07783289
 -0.02454933  0.24402845  0.18764776  0.0839396   0.06599355 -0.17266759
  0.1146636  -0.16944197  0.06551484  0.17999242  0.11031891  0.01556615
  0.03306494 -0.08544244  0.03773184  0.08571842 -0.22622667 -0.01518991
  0.1064657  -0.06120712 -0.04520722 -0.11416929  0.15901932  0.10169848
 -0.10442838 -0.19719282  0.13373496 -0.14914808 -0.09877452  0.07871459
 -0.13357371 -0.19777381 -0.31578845  0.01887366  0.40481824  0.12140805
 -0.1908612   0.05691827 -0.06837796 -0.06585371  0.11914884  0.08286843
 -0.00699972  0.04986818 -0.11279839  0.04657714  0.219411   -0.07822943
 -0.04769546  0.20204636 -0.0083979   0.10462558  0.03998134  0.01912463
 -0.07153076  0.0561456  -0.12980963  0.01843283  0.00464471 -0.04264026
 -0.04353553  0.09134384 -0.09320265  0.08622701 -0.00839744  0.00493711
 -0.03459821 -0.01799808 -0.15348642 -0.09672998  0.07560279 -0.23289688
  0.21638855  0.15618159  0.07176773  0.04698898  0.12660369  0.06759918
  0.02224917 -0.05148033 -0.23745632 -0.0675497   0.10239819  0.04943706
  0.10312737 -0.0415902 ]",0
"[-0.05882841  0.15366015  0.03160924 -0.06524368 -0.06846934 -0.07263801
 -0.10397487 -0.1074093   0.10256829 -0.08774516  0.27992922 -0.03103141
 -0.24499871 -0.07986084 -0.05263347  0.14043556 -0.14208341 -0.0859246
 -0.06820568  0.05131747  0.18575324  0.01630423  0.040364    0.02544717
 -0.09245896 -0.38973993 -0.11396931 -0.04225257 -0.03265106 -0.09484675
 -0.02789861  0.03589975 -0.20506978 -0.07218535  0.00160368  0.04947647
 -0.02713068 -0.05302517  0.18674333  0.05782435 -0.20672984  0.09060414
 -0.03257209  0.24546385  0.18758199  0.06880133  0.07646958 -0.19120581
  0.13718241 -0.17044242  0.0770278   0.15788956  0.08819117  0.01967219
  0.04561777 -0.07329039  0.03985107  0.0926315  -0.2397549  -0.0051911
  0.0971986  -0.06143815 -0.03889681 -0.12301771  0.15430009  0.11213403
 -0.08308399 -0.17441277  0.15744528 -0.13396527 -0.09594856  0.05544341
 -0.14053738 -0.18504925 -0.30556205  0.01140801  0.39470041  0.12518194
 -0.19557732  0.05490023 -0.05933464 -0.05066671  0.12334346  0.08505237
 -0.0200698   0.02419096 -0.0941754   0.06613293  0.22416171 -0.05941198
 -0.06020652  0.25292394  0.00752074  0.09124245  0.07183304  0.02033188
 -0.09125777  0.03677162 -0.13017151  0.00608749  0.00625572 -0.05174216
 -0.03525718  0.09823982 -0.10434506  0.11960472 -0.0301267   0.02981363
 -0.00850826 -0.02220214 -0.14060931 -0.08262261  0.0873083  -0.21223402
  0.19493677  0.12577513  0.04375352  0.07469286  0.11317091  0.08749021
 -0.0056862  -0.04510117 -0.25366405 -0.05317417  0.12345016  0.04958559
  0.10080766 -0.01778412]",0
"[-0.07269274  0.13049909  0.00524875 -0.06636386 -0.02706331 -0.10195941
 -0.10777625 -0.09229171  0.11011233 -0.09518918  0.27135798 -0.0644761
 -0.22405495 -0.13033973 -0.03014139  0.14327481 -0.14762184 -0.08274519
 -0.09113674  0.05036512  0.17084306 -0.00844155  0.0593959   0.03831535
 -0.09380876 -0.38844207 -0.10361682 -0.06501322 -0.03427704 -0.06281798
 -0.0600496   0.02008836 -0.20651786 -0.08242549 -0.01069061  0.05515952
 -0.01788494 -0.03180255  0.19950458  0.03566329 -0.23964636  0.03141617
 -0.0353076   0.22736341  0.17005152  0.07071988  0.06781609 -0.17010239
  0.11832411 -0.14940569  0.06143299  0.18992525  0.07126623  0.02881323
  0.03558219 -0.05797111  0.06661038  0.11573961 -0.21182683 -0.04914034
  0.07835278 -0.04817025 -0.03889512 -0.10359688  0.18243606  0.09552944
 -0.09049488 -0.16859767  0.14022996 -0.13473627 -0.07680283  0.08153991
 -0.14180294 -0.20883317 -0.32847187 -0.01499272  0.38127196  0.12048557
 -0.19251953  0.06201691 -0.09301449 -0.0694949   0.16277033  0.10056743
 -0.0095593   0.0696715  -0.09773121  0.03787613  0.21434323 -0.0707151
 -0.043908    0.21813947  0.02455827  0.08547543  0.05204131  0.00783957
 -0.06040686  0.03841563 -0.11680224  0.02848863  0.02335956 -0.04362575
 -0.0589823   0.06806773 -0.12379204  0.10711323  0.01768353  0.02071472
 -0.01187613 -0.02252231 -0.10992702 -0.11365557  0.07770652 -0.2180527
  0.16635768  0.15792377  0.05523991  0.09593032  0.1053553   0.09134107
 -0.02500641 -0.05090267 -0.2566689  -0.03922646  0.12231622  0.05786715
  0.10173584 -0.02242793]",0
"[-0.06338171  0.15466067  0.02848945 -0.06255347 -0.02305319 -0.10361651
 -0.11788473 -0.09333075  0.09312618 -0.08054119  0.29620853 -0.06183778
 -0.23449485 -0.13378878 -0.04446637  0.1425184  -0.13789478 -0.08577571
 -0.07435947  0.05576525  0.18770182 -0.02088701  0.06191791  0.0296746
 -0.10638917 -0.38162395 -0.11010342 -0.06188606 -0.03918    -0.06849047
 -0.05357646  0.02102199 -0.21557538 -0.06962044 -0.01378646  0.05211136
 -0.0107092  -0.03554442  0.20735171  0.03117483 -0.22706711  0.05553319
 -0.04468799  0.22252117  0.16495675  0.06252814  0.08088138 -0.16076806
  0.11644001 -0.14316382  0.05580331  0.19210657  0.08497612  0.03670805
  0.02420003 -0.06677719  0.06648014  0.10853992 -0.206089   -0.04613478
  0.06979601 -0.06709117 -0.04141949 -0.1173484   0.17906015  0.08616238
 -0.09610965 -0.18353154  0.13352226 -0.12168795 -0.0747195   0.10033711
 -0.15320393 -0.19119731 -0.33419484  0.00286932  0.38161665  0.12025885
 -0.20292538  0.06462901 -0.10258266 -0.05593373  0.13019601  0.08673142
 -0.00874621  0.07465651 -0.11493762  0.03503313  0.21596651 -0.07986526
 -0.05602473  0.22184132  0.01487768  0.11648912  0.04092449 -0.0004944
 -0.06235525  0.0338757  -0.0948984   0.03732724  0.01088236 -0.04991031
 -0.06757081  0.07087739 -0.11965598  0.09857664  0.00247708  0.03395091
 -0.0251623  -0.0038184  -0.11840368 -0.10751085  0.07389913 -0.23904495
  0.1800727   0.160891    0.05654945  0.0802671   0.12249455  0.09019294
 -0.0319492  -0.04648493 -0.25016424 -0.05068882  0.1239486   0.05470082
  0.10597876 -0.02233681]",0
"[-0.06694525  0.12929961  0.00352086 -0.06588998 -0.04169028 -0.0720185
 -0.11831403 -0.10580154  0.06649889 -0.10004907  0.27335602 -0.08088207
 -0.24823238 -0.12633112 -0.06272614  0.16173349 -0.11234051 -0.09975709
 -0.06755947  0.05468359  0.17362432 -0.00736237  0.03250214  0.03883591
 -0.12641124 -0.35241553 -0.11656564 -0.0683645  -0.06861077 -0.08537503
 -0.04927994  0.0097041  -0.20251051 -0.04312292 -0.00853338  0.05969015
 -0.01344326 -0.05428153  0.19172302  0.05997824 -0.21520181  0.07170704
 -0.02711668  0.22567603  0.15201984  0.06346894  0.07718188 -0.1661581
  0.11233111 -0.17150256  0.05801967  0.1607448   0.08866774  0.03161924
  0.02573052 -0.06724719  0.0683744   0.10176864 -0.22753169 -0.01619549
  0.06137547 -0.03821813 -0.0401197  -0.10286562  0.16841263  0.10474867
 -0.09444235 -0.16845518  0.15129511 -0.15177874 -0.07678598  0.09334864
 -0.12895367 -0.21480937 -0.31430611  0.01214489  0.38055104  0.14958437
 -0.20119222  0.05296011 -0.0658619  -0.05337784  0.14307839  0.07384445
  0.00625777  0.03992196 -0.09868419  0.03444481  0.24650246 -0.08426674
 -0.04294175  0.24102885  0.02352041  0.0856759   0.0471885   0.00723801
 -0.05162168  0.03212868 -0.0697112   0.0408328   0.00876943 -0.0662529
 -0.04941759  0.06819766 -0.11692586  0.10081429 -0.01200403  0.00047536
 -0.03015229  0.00517069 -0.13975675 -0.0912827   0.08827037 -0.23881148
  0.17422147  0.16107197  0.04703299  0.06959801  0.12329311  0.09586886
 -0.01285712 -0.05271912 -0.23899093 -0.07349496  0.12039904  0.04012467
  0.09541892 -0.02014498]",0
"[-0.0757124   0.12863903  0.01484774 -0.06782168 -0.04045537 -0.10075025
 -0.11436558 -0.13326955  0.08250035 -0.08314921  0.30934453 -0.08048545
 -0.24478574 -0.11379357 -0.06051288  0.15713519 -0.11656546 -0.0870046
 -0.0650679   0.05743271  0.17501864 -0.0199541   0.04870129  0.03271422
 -0.09021738 -0.35164124 -0.13488972 -0.07020907 -0.03737681 -0.05984239
 -0.06047042  0.0283213  -0.19239691 -0.07180475  0.00269968  0.05711504
 -0.03278483 -0.06531392  0.1865339   0.03369134 -0.22032684  0.05449016
 -0.02368808  0.22123517  0.15457813  0.06954814  0.08485319 -0.16423801
  0.10379381 -0.16120958  0.06907045  0.16891719  0.12550491  0.04302922
  0.00622338 -0.07859764  0.07497981  0.09934216 -0.24033329 -0.02218883
  0.11117813 -0.06133578 -0.03892016 -0.10095832  0.20577556  0.1443377
 -0.12404247 -0.16601445  0.15238237 -0.12095221 -0.07881285  0.07619695
 -0.17024726 -0.20382272 -0.31418347  0.01738526  0.37529466  0.10709621
 -0.1853787   0.03499283 -0.09279612 -0.02499372  0.10547352  0.08146346
 -0.00769356  0.02344921 -0.11223236  0.01147569  0.22587411 -0.10654408
 -0.0568225   0.22400914  0.00524141  0.08359955  0.0358301   0.04576131
 -0.06201342  0.02514682 -0.07054731  0.0464035   0.00140867 -0.0607537
 -0.05605676  0.07982434 -0.10296172  0.10859682 -0.01654587  0.02718148
 -0.02413916 -0.03078511 -0.11465842 -0.10070886  0.07008047 -0.22407655
  0.20212907  0.14278719  0.07052691  0.07595372  0.11151352  0.09768765
 -0.01463202 -0.05151251 -0.24118304 -0.07412828  0.11896928  0.04968485
  0.08297025 -0.00960965]",0
"[-0.07087629  0.09857681  0.01779688 -0.05032098 -0.03780182 -0.11204461
 -0.09488116 -0.12922305  0.07664599 -0.10660741  0.36147249 -0.07996462
 -0.2362503  -0.14799763 -0.0352541   0.16951731 -0.15992497 -0.09633313
 -0.04394229  0.07335016  0.1829052  -0.06415714  0.05125336  0.04465429
 -0.12427457 -0.36589381 -0.14697297 -0.05995474 -0.02112545 -0.05742317
 -0.0446174   0.05122894 -0.18923587 -0.05541059 -0.00424078  0.05801837
 -0.02968043 -0.0648559   0.22768064  0.01677522 -0.24179792  0.07064264
 -0.00880407  0.23509853  0.15650606  0.04962769  0.07326189 -0.1541093
  0.1138977  -0.15474539  0.09314884  0.17980154  0.15213008  0.03145847
  0.03686363 -0.06898863  0.04153635  0.09004456 -0.20195152 -0.03969156
  0.0865292  -0.03579473 -0.0266688  -0.14587024  0.17423089  0.1237824
 -0.12562495 -0.16149777  0.16528584 -0.10295476 -0.0958219   0.0867158
 -0.20067246 -0.2027273  -0.36005649  0.00894248  0.35663265  0.08787858
 -0.19956602  0.03281567 -0.05645435 -0.03594769  0.11260542  0.10269713
  0.01608819  0.00777684 -0.10937201  0.02637325  0.20453218 -0.11746001
 -0.06577627  0.20778042  0.00720635  0.07925387  0.03313364  0.03401429
 -0.04211834  0.031797   -0.10215344  0.06025415  0.00954682 -0.03935379
 -0.06742958  0.09025583 -0.09655025  0.07777844  0.0139536   0.02664765
 -0.00456105  0.01188329 -0.15974674 -0.11534482  0.04636074 -0.24400261
  0.20372096  0.14415182  0.04894881  0.04715749  0.11659576  0.10145301
 -0.03117592 -0.04476342 -0.24146579 -0.06406043  0.11671049  0.05708026
  0.07257968 -0.01962772]",0
"[-0.07949611  0.12203322  0.01118674 -0.06538179 -0.03651467 -0.12466585
 -0.089394   -0.11155076  0.07495497 -0.08806536  0.35271674 -0.08922439
 -0.21985438 -0.14993083 -0.0452236   0.1589095  -0.15282899 -0.09638021
 -0.04788734  0.08058695  0.17714332 -0.0768605   0.04730086  0.05350256
 -0.08013979 -0.36156881 -0.12762955 -0.06508883 -0.0238244  -0.0817882
 -0.04688863  0.04249539 -0.19444175 -0.06157555 -0.00369656  0.06243389
 -0.03004163 -0.05843318  0.21699709  0.01330919 -0.22090234  0.07238629
 -0.02315027  0.24151011  0.17320462  0.06174704  0.07344061 -0.14475517
  0.10993608 -0.17127766  0.06186707  0.18043514  0.13802952  0.01790684
  0.01291253 -0.07488409  0.0464347   0.07867781 -0.20846047 -0.03026474
  0.09595615 -0.04724484 -0.03886748 -0.13846472  0.19996682  0.12335663
 -0.13828634 -0.16217422  0.15716989 -0.11607083 -0.07623807  0.08280318
 -0.18404479 -0.2118248  -0.30709094  0.02638711  0.37256688  0.10865111
 -0.18357854  0.04053953 -0.09143428 -0.03480028  0.0884514   0.09378454
  0.0027284   0.01731829 -0.11955285  0.02151332  0.209057   -0.10880138
 -0.05552338  0.20715117 -0.00489255  0.09419493  0.01239491 -0.00336463
 -0.03271383  0.04918018 -0.09475009  0.06561885 -0.02174776 -0.06608672
 -0.06692938  0.07774401 -0.0999056   0.0701725  -0.0036237   0.03425087
 -0.02685828  0.0070827  -0.14448673 -0.10458559  0.04675603 -0.24666756
  0.21352617  0.16180336  0.09082098  0.05466655  0.12704363  0.09117293
  0.0081962  -0.04513484 -0.23531629 -0.05318835  0.10438871  0.05436068
  0.07574412 -0.02169369]",0
"[-0.06424711  0.12912129  0.02140879 -0.07924973 -0.03671848 -0.10811189
 -0.12081054 -0.10758964  0.09040792 -0.10409394  0.30751517 -0.06704044
 -0.23355058 -0.13580285 -0.0540459   0.16192095 -0.15374708 -0.09544571
 -0.06105457  0.04923928  0.17230871 -0.03209069  0.05136868  0.03828369
 -0.10761473 -0.36365369 -0.13402413 -0.07994279 -0.02711433 -0.06892303
 -0.06362372  0.00830506 -0.20605038 -0.07187627 -0.00251078  0.06173079
 -0.03350333 -0.06649562  0.18664443  0.03303812 -0.21198188  0.08005581
 -0.03257422  0.20986114  0.15268996  0.08078151  0.08360437 -0.16730182
  0.12702592 -0.16636331  0.06195688  0.18309094  0.10012099  0.04725898
  0.02329136 -0.07563329  0.0869144   0.09769216 -0.23086677 -0.02211736
  0.08357761 -0.05159548 -0.04113145 -0.09832041  0.18359518  0.11981063
 -0.11040185 -0.17562802  0.16161212 -0.13442114 -0.07333095  0.08768424
 -0.15501468 -0.20477715 -0.30428299  0.01398128  0.37372726  0.12989417
 -0.17775238  0.05861021 -0.08992554 -0.03782059  0.11084442  0.08869246
 -0.00389826  0.03772311 -0.11010815  0.02559104  0.21600288 -0.09902959
 -0.03916667  0.23509413  0.01569674  0.11381807  0.04064177  0.01452232
 -0.06492358  0.03439005 -0.07128651  0.05500131  0.0156784  -0.05978191
 -0.06948309  0.0607217  -0.1000931   0.09720397 -0.01632695  0.0208813
 -0.02901573 -0.00472967 -0.12179831 -0.10516721  0.06596936 -0.24290033
  0.21429259  0.17646192  0.06444776  0.07525371  0.12079056  0.08839382
 -0.01328689 -0.06439091 -0.2460162  -0.07505781  0.10771902  0.03895605
  0.07538293 -0.02191332]",0
"[-0.06910883  0.1417235   0.01450699 -0.06168345 -0.03027813 -0.11178795
 -0.10763736 -0.11118048  0.10360379 -0.08828199  0.3154135  -0.07312831
 -0.21884394 -0.12341742 -0.04990609  0.14922521 -0.15374449 -0.07492433
 -0.05492605  0.06372949  0.19281341 -0.02989929  0.04343694  0.04259355
 -0.09991767 -0.34994233 -0.14204137 -0.0674888  -0.01516865 -0.0610971
 -0.05097968  0.01945756 -0.20282833 -0.07262387 -0.00050628  0.05608308
 -0.03873041 -0.05134444  0.18410541  0.03243319 -0.21266946  0.07640696
 -0.02627573  0.21671934  0.16160624  0.08773097  0.07080995 -0.16887189
  0.10734653 -0.16877531  0.05005014  0.1908991   0.10173671  0.0541875
  0.03420401 -0.07794724  0.07860911  0.08966305 -0.21867056 -0.01864389
  0.08170684 -0.04672184 -0.03260223 -0.09598567  0.18746169  0.12722909
 -0.11701211 -0.1682414   0.14394391 -0.14137936 -0.09304354  0.09889976
 -0.14598514 -0.21018277 -0.31361285 -0.00310963  0.39065161  0.12204728
 -0.20233682  0.05164582 -0.08508314 -0.04036113  0.13801345  0.09902183
 -0.00107256  0.02598169 -0.11745558  0.00698822  0.22128674 -0.09645528
 -0.04719628  0.23503241  0.0168833   0.11063184  0.03170362  0.01876429
 -0.05098592  0.02302419 -0.0800956   0.0338284   0.00786715 -0.04849914
 -0.08611301  0.06766675 -0.10884164  0.10920004  0.00614986  0.02501367
 -0.03290122 -0.01104411 -0.11991797 -0.07554034  0.06579164 -0.25244805
  0.22153005  0.15985316  0.04077683  0.07405756  0.11389071  0.09297797
 -0.01790292 -0.06486361 -0.2296018  -0.07938176  0.09496822  0.03580736
  0.07566658 -0.03632703]",0
